date,AQI,PM25,PM10,So2,No2,Co,O3,AQI_pred
2017-12-02,187.0,144.0,177.0,15.0,103.0,2.24,5.0,180.48683
2017-12-03,79.0,52.0,72.0,6.0,41.0,0.92,40.0,76.35762
2017-12-04,28.0,5.0,21.0,1.0,15.0,0.34,53.0,29.020954
2017-12-05,44.0,22.0,46.0,5.0,43.0,0.72,27.0,43.1505
2017-12-06,49.0,23.0,53.0,6.0,41.0,0.78,32.0,47.694557
2017-12-07,27.0,8.0,25.0,4.0,19.0,0.42,39.0,29.61102
2017-12-08,41.0,20.0,43.0,5.0,40.0,0.73,23.0,40.667725
2017-12-09,56.0,33.0,62.0,8.0,58.0,1.04,16.0,55.268105
2017-12-10,43.0,6.0,45.0,2.0,13.0,0.28,61.0,43.727833
2017-12-11,28.0,5.0,20.0,2.0,15.0,0.32,54.0,29.560387
2017-12-12,28.0,12.0,25.0,3.0,30.0,0.55,27.0,29.17258
2017-12-13,49.0,31.0,49.0,6.0,50.0,0.87,10.0,49.480316
2017-12-14,94.0,70.0,85.0,18.0,68.0,1.76,6.0,89.90941
2017-12-15,62.0,35.0,57.0,6.0,34.0,0.85,37.0,56.381298
2017-12-16,40.0,7.0,39.0,1.0,10.0,0.32,58.0,39.386745
2017-12-17,46.0,24.0,48.0,5.0,48.0,0.76,30.0,44.39723
2017-12-18,48.0,13.0,49.0,3.0,21.0,0.44,47.0,45.02047
2017-12-19,55.0,34.0,66.0,8.0,47.0,0.74,20.0,57.13732
2017-12-20,44.0,21.0,44.0,4.0,40.0,0.65,36.0,42.907425
2017-12-21,74.0,51.0,77.0,12.0,77.0,1.33,9.0,72.252396
2017-12-22,62.0,36.0,63.0,9.0,55.0,1.07,29.0,57.893196
2017-12-23,50.0,30.0,55.0,10.0,60.0,1.02,13.0,52.51479
2017-12-24,50.0,14.0,50.0,3.0,17.0,0.42,59.0,46.573074
2017-12-25,46.0,28.0,46.0,8.0,44.0,0.69,28.0,45.28211
2017-12-26,41.0,22.0,42.0,6.0,45.0,0.73,31.0,41.276566
2017-12-27,101.0,75.0,91.0,10.0,69.0,1.45,7.0,100.22571
2017-12-28,140.0,105.0,120.0,11.0,68.0,1.86,10.0,141.96767
2017-12-29,221.0,172.0,194.0,6.0,85.0,2.9,6.0,217.22128
