日期,AQI指数,PM2.5,PM10,So2,No2,Co,O3
2018-04-06,78,16,89,1,8,0.26,86
2018-04-07,52,15,43,3,18,0.31,86
2018-04-08,68,38,85,5,47,0.56,55
2018-04-09,112,83,121,20,62,1.36,65
2018-04-10,96,53,118,7,39,0.87,60
2018-04-11,50,17,53,3,33,0.32,66
2018-04-12,78,30,106,8,38,0.61,64
2018-04-13,64,37,59,8,54,1.18,34
2018-04-14,122,28,171,1,12,0.3,82
2018-04-15,66,22,84,3,27,0.33,74
2018-04-16,104,68,151,9,48,0.66,80
2018-04-17,142,97,217,9,40,0.81,100
2018-04-18,144,107,208,9,45,0.86,93
2018-04-19,170,123,192,8,52,1.01,116
2018-04-20,173,123,157,13,41,1.4,145
2018-04-21,102,72,49,3,36,1.03,67
2018-04-22,35,9,18,2,18,0.38,67
2018-04-23,41,15,32,2,24,0.41,76
2018-04-24,45,17,36,3,36,0.42,68
2018-04-25,61,30,62,3,43,0.46,81
2018-04-26,118,88,110,7,49,0.76,94
2018-04-27,111,41,169,3,39,0.58,87
2018-04-28,129,86,165,9,53,0.76,112
2018-04-29,196,151,175,7,61,1.07,103
2018-04-30,62,28,69,4,23,0.65,85
2018-05-01,125,40,176,2,28,0.46,57
2018-05-02,45,15,43,2,22,0.28,70
2018-05-03,50,13,51,2,25,0.26,79
2018-05-04,87,57,108,7,53,0.59,89
2018-05-05,179,78,246,4,45,0.52,70
2018-05-06,121,59,190,3,40,0.51,82
2018-05-07,102,55,137,8,34,0.76,115
2018-05-08,68,27,76,4,39,0.49,81
2018-05-09,86,43,96,7,46,0.63,100
2018-05-10,122,89,138,11,60,1.03,119
2018-05-11,105,78,107,5,50,0.84,86
2018-05-12,190,139,132,3,43,1.51,80
2018-05-13,72,44,78,5,38,0.58,96
2018-05-14,168,118,150,6,43,1.21,137
2018-05-15,95,67,102,4,39,1.02,101
2018-05-16,147,111,75,4,36,1.81,93
2018-05-17,64,43,52,2,27,0.95,60
2018-05-18,60,21,47,3,25,0.53,108
2018-05-19,78,36,70,4,41,0.74,100
2018-05-20,59,36,45,2,28,0.77,89
2018-05-21,82,60,25,2,36,1.02,35
2018-05-22,105,42,133,1,24,0.4,63
2018-05-23,142,56,231,4,39,0.47,77
2018-05-24,107,49,129,7,49,0.74,118
2018-05-25,111,60,126,6,38,0.76,131
2018-05-26,140,99,167,3,35,0.81,87
2018-05-27,89,42,125,2,31,0.35,83
2018-05-28,188,64,256,2,22,0.24,67
2018-05-29,46,12,38,2,30,0.31,67
2018-05-30,56,12,36,2,32,0.34,94
2018-05-31,97,26,66,5,42,0.56,130
2018-06-01,91,26,66,2,44,0.47,130
2018-06-02,120,47,101,7,48,0.7,159
2018-06-03,92,53,125,3,37,0.64,105
2018-06-04,76,28,86,2,38,0.42,98
2018-06-05,110,38,117,6,44,0.55,135
2018-06-06,116,48,139,8,42,0.69,151
2018-06-07,71,23,58,2,23,0.48,113
2018-06-08,52,13,36,2,30,0.42,87
2018-06-09,52,20,43,2,29,0.53,81
2018-06-10,60,31,32,1,21,0.67,103
2018-06-11,88,63,61,1,29,0.78,106
2018-06-12,125,84,94,2,43,0.94,111
2018-06-13,77,46,38,2,30,0.88,82
2018-06-14,66,21,38,2,35,0.61,105
2018-06-15,130,80,46,4,28,1.41,128
2018-06-16,111,77,69,2,28,0.94,124
2018-06-17,77,45,59,2,27,0.77,121
2018-06-18,126,80,92,2,33,0.88,116
2018-06-19,92,49,69,3,26,0.91,119
2018-06-20,79,38,50,2,29,0.7,106
2018-06-21,91,25,61,5,33,0.71,133
2018-06-22,90,56,87,6,49,1.05,106
2018-06-23,128,55,84,3,32,0.8,181
2018-06-24,121,54,94,3,32,0.75,170
2018-06-25,109,76,113,4,41,1.02,143
2018-06-26,183,124,44,3,34,1.58,141
2018-06-27,57,25,49,2,32,0.49,73
2018-06-28,40,8,23,3,21,0.3,79
2018-06-29,71,17,56,2,41,0.45,92
2018-06-30,108,31,74,4,33,0.83,140
2018-07-01,80,46,57,3,24,0.92,115
2018-07-02,72,42,55,2,22,0.76,92
2018-07-03,85,53,54,2,22,0.76,108
2018-07-04,112,57,78,2,29,0.82,138
2018-07-05,126,69,107,3,33,1.09,142
2018-07-06,92,33,54,2,23,0.87,142
2018-07-07,72,51,55,2,25,0.84,42
2018-07-08,81,50,29,2,21,0.83,91
2018-07-09,103,77,44,2,27,0.9,57
2018-07-10,49,32,34,2,20,0.69,63
2018-07-11,43,28,27,2,32,0.61,47
2018-07-12,44,30,25,2,28,0.7,46
2018-07-13,59,41,49,2,36,0.82,55
2018-07-14,80,49,43,2,22,0.72,95
2018-07-15,99,58,54,3,27,0.85,110
2018-07-16,45,26,29,2,25,0.72,58
2018-07-17,27,17,16,2,25,0.66,46
2018-07-18,105,78,58,2,24,1.22,67
2018-07-19,91,67,63,4,31,0.92,75
2018-07-20,114,83,57,3,26,1.02,104
2018-07-21,107,68,81,3,20,0.8,123
2018-07-22,69,42,50,2,24,0.77,71
2018-07-23,81,52,60,2,22,0.88,81
2018-07-24,27,16,22,2,16,0.59,32
2018-07-25,36,9,16,2,16,0.47,71
2018-07-26,48,10,28,2,22,0.49,86
2018-07-27,68,45,56,2,21,1.05,102
2018-07-28,94,53,66,2,19,1.04,128
2018-07-29,111,71,89,2,26,1.22,126
2018-07-30,116,71,87,2,26,1.1,126
2018-07-31,118,61,83,3,28,1.05,135
2018-08-01,109,55,83,2,25,1.03,148
2018-08-02,130,83,102,4,23,1.49,139
2018-08-03,100,53,81,2,26,0.97,123
2018-08-04,122,63,97,9,26,1.24,163
2018-08-05,67,35,58,3,18,0.8,94
2018-08-06,53,36,49,11,30,1.39,51
2018-08-07,86,58,64,2,24,1.24,89
2018-08-08,41,19,22,3,18,0.89,63
2018-08-09,67,24,35,1,25,0.92,98
2018-08-10,102,30,47,4,24,0.82,140
2018-08-11,69,40,46,2,22,1.03,107
2018-08-12,74,53,39,4,22,1.19,77
2018-08-13,66,46,49,2,22,1.01,103
2018-08-14,41,22,30,3,17,0.74,61
