日期,AQI指数,PM2.5,PM10,So2,No2,Co,O3,y_pred
2018-03-31,128.0,96.0,148.0,12.0,80.0,1.05,56.0,127.07986
2018-04-01,221.0,173.0,209.0,14.0,78.0,1.51,102.0,215.4781
2018-04-02,283.0,229.0,211.0,10.0,61.0,1.82,104.0,279.98615
2018-04-03,78.0,12.0,98.0,2.0,15.0,0.28,75.0,73.87459
2018-04-04,34.0,21.0,20.0,2.0,30.0,0.44,36.0,33.762733
2018-04-05,91.0,48.0,70.0,2.0,28.0,0.59,33.0,78.98077
2018-04-06,78.0,16.0,89.0,1.0,8.0,0.26,86.0,75.47449
2018-04-07,52.0,15.0,43.0,3.0,18.0,0.31,86.0,48.39386
2018-04-08,68.0,38.0,85.0,5.0,47.0,0.56,55.0,66.261505
2018-04-09,112.0,83.0,121.0,20.0,62.0,1.36,65.0,113.18179
2018-04-10,96.0,53.0,118.0,7.0,39.0,0.87,60.0,98.19698
2018-04-11,50.0,17.0,53.0,3.0,33.0,0.32,66.0,51.676086
2018-04-12,78.0,30.0,106.0,8.0,38.0,0.61,64.0,78.129135
